label,command,design,stime_delay_ps,stime_area,log
baseline,map,benchmarks/i10.aig,207.24,1263.44,.autoeda/runtime/results/stmap12/baseline_benchmarks_i10_aig.log
candidate,stmap12,benchmarks/i10.aig,198.64,1303.1,.autoeda/runtime/results/stmap12/candidate_benchmarks_i10_aig.log
baseline,map,benchmarks/ode.abc.blif,531.32,12491.21,.autoeda/runtime/results/stmap12/baseline_benchmarks_ode_abc_blif.log
candidate,stmap12,benchmarks/ode.abc.blif,522.05,11334.38,.autoeda/runtime/results/stmap12/candidate_benchmarks_ode_abc_blif.log
baseline,map,benchmarks/or1200.abc.blif,587.08,4798.34,.autoeda/runtime/results/stmap12/baseline_benchmarks_or1200_abc_blif.log
candidate,stmap12,benchmarks/or1200.abc.blif,561.55,4895.15,.autoeda/runtime/results/stmap12/candidate_benchmarks_or1200_abc_blif.log
baseline,map,benchmarks/syn2.abc.blif,508.82,21296.6,.autoeda/runtime/results/stmap12/baseline_benchmarks_syn2_abc_blif.log
candidate,stmap12,benchmarks/syn2.abc.blif,488.54,21538.51,.autoeda/runtime/results/stmap12/candidate_benchmarks_syn2_abc_blif.log
