design,baseline_delay_ps,candidate_delay_ps,delay_delta_ps,delay_delta_pct,baseline_area,candidate_area,area_delta,area_delta_pct
benchmarks/i10.aig,207.24,198.64,-8.600000000000023,-4.149778035128365,1263.44,1303.1,39.659999999999854,3.139048945735441
benchmarks/ode.abc.blif,531.32,532.04,0.7199999999999136,0.13551155612435323,12491.21,11402.03,-1089.1799999999985,-8.719571602751044
benchmarks/or1200.abc.blif,587.08,574.45,-12.629999999999995,-2.1513252026980982,4798.34,4837.06,38.720000000000255,0.8069457354001645
benchmarks/syn2.abc.blif,508.82,485.83,-22.99000000000001,-4.51829723674384,21296.6,21535.01,238.40999999999985,1.1194744701032084
