label,design,command,stime_delay_ps,stime_area,returncode,elapsed_seconds,log,shell_command
baseline,benchmarks/i10.aig,map,207.24,1263.44,0,0.783713,.autoeda/runtime/results/stmap7/baseline_benchmarks_i10_aig.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/i10.aig,stmap7,198.64,1303.1,0,0.810267,.autoeda/runtime/results/stmap7/candidate_benchmarks_i10_aig.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; stmap7; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,benchmarks/ode.abc.blif,map,531.32,12491.21,0,6.817248,.autoeda/runtime/results/stmap7/baseline_benchmarks_ode_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/ode.abc.blif,stmap7,532.04,11402.03,0,6.750538,.autoeda/runtime/results/stmap7/candidate_benchmarks_ode_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; stmap7; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,benchmarks/or1200.abc.blif,map,587.08,4798.34,0,3.263677,.autoeda/runtime/results/stmap7/baseline_benchmarks_or1200_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/or1200.abc.blif,stmap7,574.45,4837.06,0,3.310494,.autoeda/runtime/results/stmap7/candidate_benchmarks_or1200_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; stmap7; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,benchmarks/syn2.abc.blif,map,508.82,21296.6,0,12.266514,.autoeda/runtime/results/stmap7/baseline_benchmarks_syn2_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/syn2.abc.blif,stmap7,485.83,21535.01,0,12.339347,.autoeda/runtime/results/stmap7/candidate_benchmarks_syn2_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; stmap7; topo; buffer; upsize -v; dnsize -v; stime"""
