design,baseline_delay_ps,baseline_area,candidate_delay_ps,candidate_area,delay_delta_ps,delay_delta_pct,area_delta,area_delta_pct
benchmarks/i10.aig,207.24,1263.44,198.64,1303.1,-8.600000000000023,-4.149778035128365,39.659999999999854,3.1390489457354405
benchmarks/ode.abc.blif,531.32,12491.21,519.38,11327.84,-11.940000000000055,-2.247233305729137,-1163.369999999999,-9.313509259711422
benchmarks/or1200.abc.blif,587.08,4798.34,563.51,4899.58,-23.57000000000005,-4.014785037814275,101.23999999999978,2.1098963391506182
benchmarks/syn2.abc.blif,508.82,21296.6,493.2,21485.79,-15.620000000000005,-3.06984788333792,189.19000000000233,0.8883577660283911
