benchmark,kind,returncode,stime_delay_ps,stime_area,log,command
benchmarks/i10.aig,baseline,0,207.24,1263.44,.autoeda/runtime/results/stmap83/baseline_benchmarks_i10_aig.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/i10.aig,candidate,0,198.64,1303.1,.autoeda/runtime/results/stmap83/candidate_benchmarks_i10_aig.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; stmap83; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/ode.abc.blif,baseline,0,531.32,12491.21,.autoeda/runtime/results/stmap83/baseline_benchmarks_ode_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/ode.abc.blif,candidate,0,522.05,11334.38,.autoeda/runtime/results/stmap83/candidate_benchmarks_ode_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; stmap83; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/or1200.abc.blif,baseline,0,587.08,4798.34,.autoeda/runtime/results/stmap83/baseline_benchmarks_or1200_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/or1200.abc.blif,candidate,0,561.55,4895.15,.autoeda/runtime/results/stmap83/candidate_benchmarks_or1200_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; stmap83; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/syn2.abc.blif,baseline,0,508.82,21296.6,.autoeda/runtime/results/stmap83/baseline_benchmarks_syn2_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
benchmarks/syn2.abc.blif,candidate,0,479.78,22203.59,.autoeda/runtime/results/stmap83/candidate_benchmarks_syn2_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; stmap83; topo; buffer; upsize -v; dnsize -v; stime"""
