benchmark,diag
benchmarks/syn2.abc.blif,index = 1  node = 2318  level = 29  refs = 5  leaves = 4  phase = 0  slack = 7.430023  area-save = 0.930000  arrival-delta = -10.130005  arrival-gain-margin = 1.585000  penalty-factor = 0.339  area-margin = 0.937413  cut-leaf-load-avg = 6.750  fanout-limit = 1  load-drive-ratio = 6.750  scl-feedback = 0.884
benchmarks/syn2.abc.blif,index = 2  node = 2318  level = 29  refs = 5  leaves = 4  phase = 0  slack = 7.430023  area-save = 0.930000  arrival-delta = -10.130005  arrival-gain-margin = 1.585000  penalty-factor = 0.338  area-margin = 0.936316  cut-leaf-load-avg = 5.500  fanout-limit = 1  load-drive-ratio = 5.500  scl-feedback = 0.884
