label,command,design,stime_delay_ps,stime_area,log
baseline,map,benchmarks/i10.aig,207.24,1263.44,.autoeda/runtime/results/stmap11/baseline_benchmarks_i10_aig.log
candidate,stmap11,benchmarks/i10.aig,198.64,1303.1,.autoeda/runtime/results/stmap11/candidate_benchmarks_i10_aig.log
baseline,map,benchmarks/ode.abc.blif,531.32,12491.21,.autoeda/runtime/results/stmap11/baseline_benchmarks_ode_abc_blif.log
candidate,stmap11,benchmarks/ode.abc.blif,519.38,11327.84,.autoeda/runtime/results/stmap11/candidate_benchmarks_ode_abc_blif.log
baseline,map,benchmarks/or1200.abc.blif,587.08,4798.34,.autoeda/runtime/results/stmap11/baseline_benchmarks_or1200_abc_blif.log
candidate,stmap11,benchmarks/or1200.abc.blif,561.55,4895.15,.autoeda/runtime/results/stmap11/candidate_benchmarks_or1200_abc_blif.log
baseline,map,benchmarks/syn2.abc.blif,508.82,21296.6,.autoeda/runtime/results/stmap11/baseline_benchmarks_syn2_abc_blif.log
candidate,stmap11,benchmarks/syn2.abc.blif,493.2,21485.79,.autoeda/runtime/results/stmap11/candidate_benchmarks_syn2_abc_blif.log
