benchmark,reported_rows,criticality_ge_0p50_in_top,criticality_ge_0p75_in_top,top_aig_id,top_phase,top_final_node,top_final_gate,top_final_criticality,top_final_slack,top_final_arrival,top_final_load_ratio
benchmarks/i10.aig,12,12,12,855,0,732,NAND5xp2_ASAP7_75t_L,1.000,0.000000,121.962936,0.313
benchmarks/ode.abc.blif,12,12,12,5219,1,5087,O2A1O1Ixp33_ASAP7_75t_L,1.000,0.000000,241.037704,0.338
benchmarks/or1200.abc.blif,12,12,12,11491,0,7025,A2O1A1Ixp33_ASAP7_75t_L,1.000,0.000000,72.399895,0.187
benchmarks/syn2.abc.blif,12,12,12,18002,1,11965,NOR2xp33_ASAP7_75t_L,1.000,0.000000,35.844803,0.234
