design,baseline_delay_ps,candidate_delay_ps,delay_delta_ps,delay_delta_pct,baseline_area,candidate_area,area_delta,area_delta_pct
benchmarks/i10.aig,207.24,198.64,-8.600000000000023,-4.149778035128365,1263.44,1303.1,39.659999999999854,3.1390489457354405
benchmarks/ode.abc.blif,531.32,524.16,-7.160000000000082,-1.347587141459023,12491.21,11179.71,-1311.5,-10.499383166242502
benchmarks/or1200.abc.blif,587.08,553.77,-33.31000000000006,-5.673843428493571,4798.34,5005.96,207.6199999999999,4.3269130574323595
benchmarks/syn2.abc.blif,508.82,502.09,-6.730000000000018,-1.3226681341142288,21296.6,20788.05,-508.5499999999993,-2.387939858944617
