label,design,command,returncode,stime_delay_ps,stime_area,elapsed_seconds,log
baseline,benchmarks/i10.aig,map,0,207.24,1263.44,0.784625,.autoeda/runtime/results/stmap3/baseline_benchmarks_i10_aig.log
candidate,benchmarks/i10.aig,stmap3,0,208.38,1288.17,0.784209,.autoeda/runtime/results/stmap3/candidate_benchmarks_i10_aig.log
baseline,benchmarks/ode.abc.blif,map,0,531.32,12491.21,6.780581,.autoeda/runtime/results/stmap3/baseline_benchmarks_ode_abc_blif.log
candidate,benchmarks/ode.abc.blif,stmap3,0,561.99,12562.13,6.480759,.autoeda/runtime/results/stmap3/candidate_benchmarks_ode_abc_blif.log
baseline,benchmarks/or1200.abc.blif,map,0,587.08,4798.34,3.297804,.autoeda/runtime/results/stmap3/baseline_benchmarks_or1200_abc_blif.log
candidate,benchmarks/or1200.abc.blif,stmap3,0,592.26,4806.03,3.273712,.autoeda/runtime/results/stmap3/candidate_benchmarks_or1200_abc_blif.log
baseline,benchmarks/syn2.abc.blif,map,0,508.82,21296.6,12.097346,.autoeda/runtime/results/stmap3/baseline_benchmarks_syn2_abc_blif.log
candidate,benchmarks/syn2.abc.blif,stmap3,0,499.16,22150.17,11.792822,.autoeda/runtime/results/stmap3/candidate_benchmarks_syn2_abc_blif.log
