kind,command,benchmark,exit_code,parse_ok,stime_delay_ps,stime_area,runtime_seconds,log
baseline,map,benchmarks/i10.aig,0,True,207.24,1263.44,0.794,.autoeda/runtime/results/stmap42/baseline_benchmarks_i10_aig.log
candidate,stmap42,benchmarks/i10.aig,0,True,198.64,1303.1,1.025,.autoeda/runtime/results/stmap42/candidate_benchmarks_i10_aig.log
baseline,map,benchmarks/ode.abc.blif,0,True,531.32,12491.21,6.729,.autoeda/runtime/results/stmap42/baseline_benchmarks_ode_abc_blif.log
candidate,stmap42,benchmarks/ode.abc.blif,0,True,522.05,11334.38,10.189,.autoeda/runtime/results/stmap42/candidate_benchmarks_ode_abc_blif.log
baseline,map,benchmarks/or1200.abc.blif,0,True,587.08,4798.34,3.326,.autoeda/runtime/results/stmap42/baseline_benchmarks_or1200_abc_blif.log
candidate,stmap42,benchmarks/or1200.abc.blif,0,True,561.55,4895.15,4.73,.autoeda/runtime/results/stmap42/candidate_benchmarks_or1200_abc_blif.log
baseline,map,benchmarks/syn2.abc.blif,0,True,508.82,21296.6,12.366,.autoeda/runtime/results/stmap42/baseline_benchmarks_syn2_abc_blif.log
candidate,stmap42,benchmarks/syn2.abc.blif,0,True,490.96,21541.78,18.859,.autoeda/runtime/results/stmap42/candidate_benchmarks_syn2_abc_blif.log
