label,command,design,log,returncode,stime_area,stime_delay_ps,failure,shell_command
baseline,map,benchmarks/i10.aig,.autoeda/runtime/results/stmap8/baseline_benchmarks_i10_aig.log,0,1263.44,207.24,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,stmap8,benchmarks/i10.aig,.autoeda/runtime/results/stmap8/candidate_benchmarks_i10_aig.log,0,1303.1,198.64,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; stmap8; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,map,benchmarks/ode.abc.blif,.autoeda/runtime/results/stmap8/baseline_benchmarks_ode_abc_blif.log,0,12491.21,531.32,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,stmap8,benchmarks/ode.abc.blif,.autoeda/runtime/results/stmap8/candidate_benchmarks_ode_abc_blif.log,0,11334.38,522.05,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; stmap8; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,map,benchmarks/or1200.abc.blif,.autoeda/runtime/results/stmap8/baseline_benchmarks_or1200_abc_blif.log,0,4798.34,587.08,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,stmap8,benchmarks/or1200.abc.blif,.autoeda/runtime/results/stmap8/candidate_benchmarks_or1200_abc_blif.log,0,4853.16,578.8,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; stmap8; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,map,benchmarks/syn2.abc.blif,.autoeda/runtime/results/stmap8/baseline_benchmarks_syn2_abc_blif.log,0,21296.6,508.82,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,stmap8,benchmarks/syn2.abc.blif,.autoeda/runtime/results/stmap8/candidate_benchmarks_syn2_abc_blif.log,0,21566.97,493.17,,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; stmap8; topo; buffer; upsize -v; dnsize -v; stime"""
