label,design,command,stime_delay_ps,stime_area,returncode,elapsed_seconds,log,shell_command
baseline,benchmarks/i10.aig,map,207.24,1263.44,0,0.794287,.autoeda/runtime/results/stmap6/baseline_benchmarks_i10_aig.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/i10.aig,stmap6,198.64,1303.1,0,0.808551,.autoeda/runtime/results/stmap6/candidate_benchmarks_i10_aig.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/i10.aig; resyn; resyn2; dch -v; stmap6; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,benchmarks/ode.abc.blif,map,531.32,12491.21,0,6.917669,.autoeda/runtime/results/stmap6/baseline_benchmarks_ode_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/ode.abc.blif,stmap6,531.21,11171.31,0,6.892006,.autoeda/runtime/results/stmap6/candidate_benchmarks_ode_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/ode.abc.blif; resyn; resyn2; dch -v; stmap6; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,benchmarks/or1200.abc.blif,map,587.08,4798.34,0,3.291568,.autoeda/runtime/results/stmap6/baseline_benchmarks_or1200_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/or1200.abc.blif,stmap6,579.4,4777.11,0,3.308472,.autoeda/runtime/results/stmap6/candidate_benchmarks_or1200_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/or1200.abc.blif; resyn; resyn2; dch -v; stmap6; topo; buffer; upsize -v; dnsize -v; stime"""
baseline,benchmarks/syn2.abc.blif,map,508.82,21296.6,0,12.275979,.autoeda/runtime/results/stmap6/baseline_benchmarks_syn2_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; map; topo; buffer; upsize -v; dnsize -v; stime"""
candidate,benchmarks/syn2.abc.blif,stmap6,503.89,20443.49,0,12.492872,.autoeda/runtime/results/stmap6/candidate_benchmarks_syn2_abc_blif.log,"./abc -c ""read_lib 7nm_lvt_ff.lib; read benchmarks/syn2.abc.blif; resyn; resyn2; dch -v; stmap6; topo; buffer; upsize -v; dnsize -v; stime"""
